Day fraction since midnight on 10/5/2019	Turbidity ()
0.56918151	-999.00000000
0.56987594	-999.00000000
Day fraction since midnight on 10/5/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Turbidity ()
0.57057037	0.00000000	0.00000000	-999.00000000
0.57126482	0.00000000	0.00000000	-999.00000000
Day fraction since midnight on 10/5/2019
0.57195926
0.57262638
0.57329341
0.57396045
0.57462746
0.57529449
0.57598886
0.57668331
0.57737775
0.57807219
0.57876663
0.57946109
0.58015552
0.58084997
0.58154442
0.58223887
0.58293331
0.58362775
0.58432221
0.58501665
0.58571109
0.58640552
0.58709998
0.58779442
0.58848888
0.58918331
0.58987775
0.59057220
0.59126663
0.59196108
0.59265474
0.59334800
0.59404126
0.59473451
0.59542776
0.59612183
0.59681626
0.59751069
0.59820514
0.59889957
0.59959400
0.60028847
0.60098289
0.60167732
0.60237176
0.60306620
0.60376065
0.60445505
0.60514944
0.60584386
0.60653822
0.60723261
0.60792705
0.60862146
0.60931591
0.61001034
0.61070483
Day fraction since midnight on 10/5/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Fluoride Pump Control ()
0.66661253	0.00000000	0.00000000	0.00000000	1.25701368
0.66662410	0.00000000	0.00000000	0.00000000	1.23743010
0.66663569	0.00000000	0.00000000	0.00000000	1.23733354
0.66664726	0.00000000	0.00000000	0.00000000	1.25728297
0.66665883	0.00000000	0.00000000	0.00000000	1.25792003
0.66667040	0.00000000	0.00000000	0.00000000	1.24667263
0.66668197	0.00000000	0.00000000	0.00000000	1.24104559
0.66669355	0.00000000	0.00000000	0.00000000	1.25348842
0.66670512	48.66000000	24.70125000	12.35250000	1.26214612
0.66671671	48.66000000	24.70125000	12.35250000	1.26045012
0.66672828	48.66000000	24.70125000	12.35250000	1.25035834
0.66673985	48.66000000	24.70125000	12.35250000	1.23610747
0.66675144	48.66000000	24.70125000	12.35250000	1.22303927
0.66676298	48.66000000	24.70125000	12.35250000	1.21087348
0.66677457	48.66000000	24.70125000	12.35250000	1.20024908
0.66678614	48.66000000	24.70125000	12.35250000	1.19212341
0.66679771	48.66000000	24.70125000	12.35250000	1.17831314
0.66680928	48.66000000	24.70125000	12.35250000	1.16440558
0.66682085	0.00000000	0.00000000	0.00000000	1.15966690
