Day fraction since midnight on 10/20/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Just Water Pump Control (rpm)
0.38407157	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38408316	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38409473	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38410630	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38411787	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38412946	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38414102	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38415259	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38416418	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38417575	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38418732	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38419888	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38421047	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38422204	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38423361	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38424520	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38425676	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38426833	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38427992	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38429149	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38430306	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38431465	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38432621	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38433778	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38434935	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38436094	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38437250	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38438407	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38439564	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38440723	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38441880	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38443037	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38444196	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38445352	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38446509	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38447668	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38448825	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38449982	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38451139	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38452296	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38453455	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38454611	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38455768	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38456927	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38458084	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38459241	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38460398	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38461555	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38462714	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38463871	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38465028	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38466187	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38467343	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38468500	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38469657	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38470816	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38471973	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38473130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38474289	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38475445	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38476602	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38477759	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38478918	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38480075	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38481232	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38482389	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38483546	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38484705	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38485862	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38487020	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38488176	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38489333	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38490492	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38491649	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38492806	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38493963	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38495122	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38496278	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38497437	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38498594	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38499751	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38500907	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38502064	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38503223	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38504381	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38505538	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38506695	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38507851	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38509010	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38510167	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38511324	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38512483	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38513640	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38514796	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38515955	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38517112	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38518269	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38519426	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38520583	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38521742	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38522899	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38524056	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38525215	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38526371	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38527528	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38528685	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38529844	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38531001	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38532157	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38533316	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38534473	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38535632	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38536787	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38537946	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38539103	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38540259	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38541416	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38542575	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38543732	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38544889	0.00000000	0.00000000	0.00000000	0.15665692	0.00000000
0.38546046	0.00000000	0.00000000	0.00000000	0.15665692	0.00000000
0.38547203	0.00000000	0.00000000	0.00000000	0.15665692	0.00000000
0.38548362	0.00000000	0.00000000	0.00000000	0.15665692	0.00000000
0.38549519	0.00000000	0.00000000	0.00000000	0.15665692	0.00000000
0.38550676	0.00000000	0.00000000	0.00000000	0.15665692	0.00000000
0.38551833	0.00000000	0.00000000	0.00000000	0.15665692	0.00000000
0.38552992	0.00000000	0.00000000	0.00000000	0.15665692	0.00000000
0.38554149	0.00000000	0.00000000	0.00000000	0.15665692	0.00000000
0.38555305	0.00000000	0.00000000	0.00000000	0.15665692	0.00000000
0.38556464	0.00000000	0.00000000	0.00000000	0.15665692	0.00000000
0.38557621	0.00000000	0.00000000	0.00000000	0.15665692	0.00000000
0.38558778	0.00000000	0.00000000	0.00000000	0.15665692	0.00000000
