Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.37587708	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37588865	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37590022	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37591181	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37592337	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37593494	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37594651	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37595810	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37596967	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37598124	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37599280	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37600440	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37601597	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37602753	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37603910	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37605069	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37606226	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37607383	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37608542	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37609698	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37610855	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37612012	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37613171	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37614328	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37615484	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37616641	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37617801	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37618958	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37620114	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37621271	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37622430	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37623587	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37624746	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37625903	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37627059	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37628216	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37629373	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37630532	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37631689	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
