Coagulant mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0052668	1.41147411	0.13102067	0.9818340473
0.0052668	1.41147411	0.13067862	0.9992227908
0.0052668	1.41147411	0.13155922	0.9550671112
0.0052668	1.41147411	0.13002281	1.03342803
0.0052668	1.41382599	0.13039893	1.013669966
0.0052668	1.41382599	0.13089882	0.987993543
0.0052668	1.41382599	0.12999186	1.035070921
0.0052668	1.41382599	0.13121372	0.9721539224
0.0052668	1.41382599	0.13027547	1.020113474
0.0052668	1.40343976	0.13026623	1.020597363
0.0052668	1.40343976	0.13051307	1.007749092
0.0052668	1.40343976	0.1306143	1.002526853
0.0052668	1.40343976	0.1306162	1.002429095
0.0052668	1.40343976	0.13067566	0.9993746041
0.0052668	1.40343976	0.13050094	1.008376675
0.0052668	1.27709627	0.13005692	1.031620421
0.0052668	1.27709627	0.13051485	1.007657031
0.0052668	1.27709627	0.13085583	0.9901758889
0.0052668	1.27709627	0.13086797	0.9895591255
0.0052668	1.27709627	0.13142934	0.9614548521
0.0052668	1.83039927	0.13103491	0.9811167285
0.0052668	1.83039927	0.13095927	0.9849329915
0.0052668	1.83039927	0.13178316	0.9441528341
0.0052668	1.83039927	0.13100438	0.982655275
0.0052668	1.83039927	0.1311361	0.9760345042
0.0052668	1.78841197	0.13109082	0.9783054102
0.0052668	1.78841197	0.13077459	0.9943131298
0.0052668	1.78841197	0.13105035	0.9803395537
0.0052668	1.78841197	0.12982404	1.04402474
0.0052668	1.78841197	0.13156031	0.9550136829
0.0052668	1.7010293	0.13156372	0.9548465551
0.0052668	1.7010293	0.13106138	0.9797847339
0.0052668	1.7010293	0.13152482	0.9567548242
0.0052668	1.7010293	0.13154709	0.9556618862
0.0052668	1.7010293	0.13077186	0.994452458
0.0052668	1.36471701	0.1313934	0.9632299831
0.0052668	1.36471701	0.13160326	0.9529107908
0.0052668	1.36471701	0.13327619	0.8745061894
0.0052668	1.36471701	0.13219368	0.9244679773
0.0052668	1.36471701	0.13231902	0.9185399769
0.0052668	1.21352899	0.13078935	0.9935601768
0.0052668	1.21352899	0.131172	0.974237776
0.0052668	1.21352899	0.13155444	0.9553014466
0.0052668	1.21352899	0.13160199	0.9529729053
0.0052668	1.21352899	0.13078935	0.9935601768
0.0052668	1.02778947	0.130677	0.9993058749
0.0052668	1.02778947	0.13026021	1.020912748
0.0052668	1.02778947	0.13082221	0.9918859342
0.0052668	1.02778947	0.13112491	0.97659522
0.0052668	1.02778947	0.13152339	0.9568250466
0.0052668	1.09416568	0.13157196	0.9544428244
0.0052668	1.09416568	0.13030607	1.01851262
0.0052668	1.09416568	0.13137943	0.9639208668
0.0052668	1.09416568	0.13218693	0.9247883044
0.0052668	1.09416568	0.13257858	0.9063845818
0.0052668	1.65861905	0.13091812	0.9870153622
0.0052668	1.65861905	0.13113436	0.9761216722
0.0052668	1.65861905	0.13054724	1.005983301
0.0052668	1.65861905	0.13129991	0.967862962
0.0052668	1.65861905	0.13064183	1.001111326
0.0052668	1.49027169	0.1311855	0.9735629822
0.0052668	1.49027169	0.13149923	0.9580122402
0.0052668	1.49027169	0.13118586	0.9735449941
0.0052668	1.49027169	0.13201843	0.9328206859
0.0052668	1.49027169	0.13109367	0.9781623198
0.0052668	1.20173275	0.13142693	0.9615737833
0.0052668	1.20173275	0.13164316	0.9509613801
0.0052668	1.20173275	0.13202743	0.9323898983
0.0052668	1.20173275	0.13195175	0.9360185495
0.0052668	1.20173275	0.1320693	0.9303883928
0.0052668	1.57929909	0.13134867	0.9654438439
0.0052668	1.57929909	0.13069414	0.998427174
0.0052668	1.57929909	0.13116181	0.9747474301
0.0052668	1.57929909	0.13116075	0.9748004615
0.0052668	1.57929909	0.13054432	1.006134075
0.0052668	1.84486628	0.13157843	0.954125937
0.0052668	1.84486628	0.13028206	1.019768502
0.0052668	1.84486628	0.13110346	0.9776709513
0.0052668	1.84486628	0.13156824	0.95462507
0.0052668	1.84486628	0.13093103	0.986361586
0.0052668	1.45796752	0.13079275	0.9933868131
0.0052668	1.45796752	0.13174833	0.9458421342
0.0052668	1.45796752	0.13095696	0.9850497712
0.0052668	1.45796752	0.13150525	0.9577162869
0.0052668	1.45796752	0.13102019	0.9818582357
0.0052668	2.09364724	0.13092127	0.9868558029
0.0052668	2.09364724	0.13118421	0.9736274423
0.0052668	2.09364724	0.13109823	0.9779334188
0.0052668	2.09364724	0.13098015	0.9838780526
0.0052668	2.09364724	0.13142242	0.9617963869
0.0052668	1.53778327	0.13140422	0.9626952224
0.0052668	1.53778327	0.13106565	0.9795700331
0.0052668	1.53778327	0.13122648	0.9715174694
0.0052668	1.53778327	0.1314413	0.9608648554
0.0052668	1.53778327	0.13099319	0.9832197943
0.0052668	1.29110467	0.13166256	0.9500149877
0.0052668	1.29110467	0.13173808	0.9463398479
0.0052668	1.29110467	0.13112618	0.9765315659
0.0052668	1.29110467	0.13168381	0.9489794274
0.0052668	1.29110467	0.13156816	0.9546289897
0.0052668	1.07802117	0.1321052	0.928675692
0.0052668	1.07802117	0.13087222	0.9893432984
0.0052668	1.07802117	0.13117693	0.9739912971
0.0052668	1.07802117	0.13074468	0.995840681
0.0052668	1.07802117	0.13099448	0.9831546991
0.0052668	1.31160486	0.13155411	0.9553176267
0.0052668	1.31160486	0.13048612	1.009143964
0.0052668	1.31160486	0.13061354	1.002565959
0.0052668	1.31160486	0.13176951	0.9448145169
0.0052668	1.31160486	0.13184017	0.9413942835
0.0052668	1.27546465	0.1318002	0.9433274714
0.0052668	1.27546465	0.13168468	0.9489370544
0.0052668	1.27546465	0.13216753	0.9257095663
