PACl mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0039502	12.80161667	0.12887771	1.095984326
0.0039502	12.80161667	0.1285416	1.115054731
0.0039502	13.57064247	0.12915294	1.080611309
0.0039502	13.57064247	0.12948467	1.062368773
0.0039502	13.57064247	0.1288099	1.099805325
0.0039502	13.57064247	0.12930723	1.072087932
0.0039502	13.57064247	0.1286547	1.108600838
0.0039502	12.88624954	0.1290215	1.087925825
0.0039502	12.88624954	0.12970679	1.050326384
0.0039502	12.88624954	0.12971172	1.050060655
0.0039502	12.88624954	0.12892237	1.093475051
0.0039502	12.88624954	0.13006121	1.031393302
0.0039502	12.39608955	0.12919316	1.078382944
0.0039502	12.39608955	0.12935071	1.06969815
0.0039502	12.39608955	0.12924831	1.075334861
0.0039502	12.39608955	0.12881657	1.09942889
0.0039502	12.39608955	0.12907544	1.084918142
0.0039502	10.25712967	0.12986715	1.041717296
0.0039502	10.25712967	0.12795836	1.148937795
0.0039502	10.25712967	0.12922682	1.076521565
0.0039502	10.25712967	0.12926114	1.074626996
0.0039502	10.25712967	0.12869498	1.106311349
0.0039502		0.12907121	1.085153705
0.0039502		0.12852965	1.115738831
0.0039502		0.12858869	1.112363053
0.0039502		0.12962496	1.05474689
0.0039502		0.1296737	1.052111691
0.0039502	16.25163651	0.12859055	1.112256869
0.0039502	16.25163651	0.12874508	1.103470293
0.0039502	16.25163651	0.12923156	1.076259704
0.0039502	16.25163651	0.12927175	1.074041967
0.0039502	16.25163651	0.12947376	1.06296381
0.0039502	15.48413849	0.1297248	1.049355964
0.0039502	15.48413849	0.12831412	1.128149563
0.0039502	15.48413849	0.12838089	1.124290099
0.0039502	15.48413849	0.12902725	1.087604809
0.0039502	15.48413849	0.12895	1.091925505
0.0039502	14.98625565	0.12985294	1.042477316
0.0039502	14.98625565	0.12898909	1.089737008
0.0039502	14.98625565	0.12956946	1.057755617
0.0039502	14.98625565	0.12889275	1.095138644
0.0039502	14.98625565	0.12862292	1.110410536
0.0039502	13.65275955	0.12829351	1.129343543
0.0039502	13.65275955	0.12908469	1.0844032
0.0039502	13.65275955	0.12910064	1.083515846
0.0039502	13.65275955	0.12921847	1.076983015
0.0039502	13.65275955	0.12919082	1.078512464
0.0039502	13.71070099	0.12867588	1.10739639
0.0039502	13.71070099	0.12990676	1.039601683
0.0039502	13.71070099	0.1286993	1.106066084
0.0039502	13.71070099	0.12920578	1.077684688
0.0039502	13.71070099	0.12909161	1.084018127
