Coagulant mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0026336	0.13858911	0.1197142	1.754113128
0.0026336	0.13858911	0.11968438	1.756799836
0.0026336	0.13858911	0.11957317	1.766855922
0.0026336	0.13850872	0.11919609	1.801383551
0.0026336	0.13850872	0.11909403	1.810844234
0.0026336	0.13850872	0.1187567	1.842468746
0.0026336	0.13850872	0.11928166	1.793489549
0.0026336	0.13850872	0.1195415	1.769730175
0.0026336	0.14004625	0.11903344	1.81648425
0.0026336	0.14004625	0.11884212	1.834408823
0.0026336	0.14004625	0.11955823	1.768211239
0.0026336	0.14004625	0.11951873	1.771799586
0.0026336	0.14004625	0.11950554	1.772999442
0.0026336	0.15480725	0.119188	1.802131665
0.0026336	0.15480725	0.11879239	1.839096868
0.0026336	0.15480725	0.11882489	1.83603174
0.0026336	0.15480725	0.11916409	1.804344532
0.0026336	0.15480725	0.11942849	1.780024712
0.0026336	0.17924702	0.11900583	1.819060148
0.0026336	0.17924702	0.11899227	1.820326576
0.0026336	0.17924702	0.11904466	1.815438514
0.0026336	0.17924702	0.11850241	1.866672869
0.0026336	0.17924702	0.11933514	1.788573489
0.0026336	0.20023498	0.11839244	1.877238402
0.0026336	0.20023498	0.11915077	1.805578475
0.0026336	0.20023498	0.11915062	1.805592375
0.0026336	0.20023498	0.11869305	1.848497546
0.0026336	0.20023498	0.11942039	1.78076487
0.0026336	0.43035144	0.11903248	1.816573753
0.0026336	0.43035144	0.11937478	1.784938346
0.0026336	0.43035144	0.11906083	1.813932482
0.0026336	0.43035144	0.11871491	1.84642479
0.0026336	0.43035144	0.11833677	1.88260976
0.0026336	0.3282443	0.11907294	1.812805406
0.0026336	0.3282443	0.11947521	1.775761558
0.0026336	0.3282443	0.11904412	1.815488829
0.0026336	0.3282443	0.11905494	1.814480916
0.0026336	0.3282443	0.11946268	1.776903905
0.0026336	0.29380071	0.11913039	1.807468078
0.0026336	0.29380071	0.11900956	1.818711941
0.0026336	0.29380071	0.11953498	1.770322486
0.0026336	0.29380071	0.11926439	1.795079949
0.0026336	0.29380071	0.11911462	1.808931605
0.0026336	0.33701676	0.11926152	1.795344385
0.0026336	0.33701676	0.11890879	1.828142589
0.0026336	0.33701676	0.12011983	1.717972341
0.0026336	0.33701676	0.11945476	1.777626342
0.0026336	0.33701676	0.11975849	1.750130291
0.0026336	0.44470677	0.11928494	1.793187652
0.0026336	0.44470677	0.11977413	1.748726004
0.0026336	0.44470677	0.11897975	1.821496658
0.0026336	0.44470677	0.11919159	1.801799645
0.0026336	0.44470677	0.11979944	1.746455854
0.0026336	0.51921546	0.11854683	1.86242203
0.0026336	0.51921546	0.12103289	1.639321738
0.0026336	0.51921546	0.12038442	1.69480016
0.0026336	0.51921546	0.11992723	1.735038805
0.0026336	0.51921546	0.11985646	1.741352305
0.0026336	0.56620133	0.11984884	1.742033465
0.0026336	0.56620133	0.11984155	1.742685376
0.0026336	0.56620133	0.1199476	1.733225812
0.0026336	0.56620133	0.11976535	1.749514205
0.0026336	0.56620133	0.11967398	1.757737818
0.0026336	0.81589895	0.11918218	1.802670055
0.0026336	0.81589895	0.11970288	1.755132548
0.0026336	0.81589895	0.11971754	1.753812459
0.0026336	0.81589895	0.11991547	1.736086344
0.0026336	0.81589895	0.11996977	1.731254767
0.0026336	0.97862965	0.1199911	1.729360518
0.0026336	0.97862965	0.11992197	1.735507269
0.0026336	0.97862965	0.1197829	1.747939056
0.0026336	0.97862965	0.12028521	1.703451889
0.0026336	0.97862965	0.12052544	1.682577905
0.0026336	1.37599194	0.1203576	1.697134687
0.0026336	1.37599194	0.1198115	1.745375183
0.0026336	1.37599194	0.11983543	1.743232847
0.0026336	1.37599194	0.12046669	1.687659041
0.0026336	1.37599194	0.12030479	1.7017409
0.0026336	1.63417065	0.12025315	1.706257152
0.0026336	1.63417065	0.11924258	1.797090455
0.0026336	1.63417065	0.12050279	1.684535031
0.0026336	1.63417065	0.12065545	1.671387995
0.0026336	1.63417065	0.12033714	1.698917775
0.0026336	1.85719275	0.12060127	1.676042174
0.0026336	1.85719275	0.12057628	1.678193234
0.0026336	1.85719275	0.12023409	1.707927099
0.0026336	1.85719275	0.120517	1.683306917
0.0026336	1.85719275	0.12082098	1.657248519
0.0026336	1.88149047	0.12004606	1.724489243
0.0026336	1.88149047	0.11989068	1.738296623
0.0026336	1.88149047	0.12066033	1.670969427
0.0026336	1.88149047	0.12017411	1.713192934
0.0026336	1.88149047	0.12028489	1.703479866
0.0026336	1.72669208	0.12093715	1.647396837
0.0026336	1.72669208	0.12031209	1.701103433
0.0026336	1.72669208	0.12108638	1.634827422
0.0026336	1.72669208	0.12139096	1.609469946
0.0026336	1.72669208	0.12084626	1.655099671
0.0026336	1.72669208	0.12138614	1.609868151
0.0026336	1.6126138	0.12048376	1.686181121
0.0026336	1.6126138	0.12044711	1.689355872
0.0026336	1.6126138	0.12098767	1.643130831
0.0026336	1.6126138	0.12088468	1.651839231
0.0026336	1.6126138	0.12140421	1.608375804
0.0026336	1.39994824	0.12070658	1.667007671
0.0026336	1.39994824	0.12067004	1.670136893
0.0026336	1.39994824	0.12096968	1.644648674
0.0026336	1.39994824	0.12014365	1.715873327
0.0026336	1.39994824	0.12072194	1.665694019
0.0026336	2.37572908	0.12055725	1.679833128
0.0026336	2.37572908	0.12129745	1.617212894
0.0026336	2.37572908	0.12115772	1.628852489
0.0026336	2.37572908	0.12159228	1.592925553
0.0026336	2.37572908	0.12128914	1.61790279
