Day fraction since midnight on 10/27/2019,Time (seconds),Time (seconds since start),Coag Flow mL/s (),Water Flow mL/s (),Turbidity ()
start expt w/o fluoride probe,,,,,
0.40708351,35172.01526,129.999168,0.001317,0.654083,0.06413139
0.4070951,35173.01664,131.000544,0.001317,0.654083,0.07024869
0.40710667,35174.01629,132.000192,0.001317,0.654083,0.07024869
0.40711824,35175.01594,132.99984,0.001317,0.654083,0.07024869
0.40712981,35176.01558,133.999488,0.001317,0.654083,0.07024869
0.4071414,35177.01696,135.000864,0.001317,0.654083,0.07024869
0.40715296,35178.01574,135.999648,0.001317,0.654083,0.06585428
0.40716453,35179.01539,136.999296,0.001317,0.654083,0.06585428
0.4071761,35180.01504,137.998944,0.001317,0.654083,0.06585428
0.40718769,35181.01642,139.00032,0.001317,0.654083,0.06585428
0.40719926,35182.01606,139.999968,0.001317,0.654083,0.06585428
0.40721083,35183.01571,140.999616,0.001317,0.654083,0.07145638
0.40722239,35184.0145,141.9984,0.001317,0.654083,0.07145638
0.40723397,35185.01501,142.998912,0.001317,0.654083,0.07145638
0.40724556,35186.01638,144.000288,0.001317,0.654083,0.07145638
0.40725713,35187.01603,144.999936,0.001317,0.654083,0.07145638
0.4072687,35188.01568,145.999584,0.001317,0.654083,0.0676851
0.40728027,35189.01533,146.999232,0.001317,0.654083,0.0676851
0.40729184,35190.01498,147.99888,0.001317,0.654083,0.0676851
0.40730343,35191.01635,149.000256,0.001317,0.654083,0.0676851
0.407315,35192.016,149.999904,0.001317,0.654083,0.0676851
0.40732659,35193.01738,151.00128,0.001317,0.654083,0.06542172
0.40733814,35194.0153,151.9992,0.001317,0.654083,0.06542172
0.40734971,35195.01494,152.998848,0.001317,0.654083,0.06542172
0.4073613,35196.01632,154.000224,0.001317,0.654083,0.06542172
0.40737287,35197.01597,154.999872,0.001317,0.654083,0.06542172
0.40738444,35198.01562,155.99952,0.001317,0.654083,0.06250693
0.40739601,35199.01526,156.999168,0.001317,0.654083,0.06250693
0.4074076,35200.01664,158.000544,0.001317,0.654083,0.06250693
0.40741917,35201.01629,159.000192,0.001317,0.654083,0.06250693
0.40743073,35202.01507,159.998976,0.001317,0.654083,0.06250693
0.40744231,35203.01558,160.999488,0.001317,0.654083,0.06109231
0.40745388,35204.01523,161.999136,0.001317,0.654083,0.06109231
0.40746545,35205.01488,162.998784,0.001317,0.654083,0.06109231
0.40747704,35206.01626,164.00016,0.001317,0.654083,0.06109231
0.40748861,35207.0159,164.999808,0.001317,0.654083,0.06109231
0.40750018,35208.01555,165.999456,0.001317,0.654083,0.06108597
0.40751175,35209.0152,166.999104,0.001317,0.654083,0.06108597
0.40752332,35210.01485,167.998752,0.001317,0.654083,0.06108597
0.40753491,35211.01622,169.000128,0.001317,0.654083,0.06108597
0.40754648,35212.01587,169.999776,0.001317,0.654083,0.06108597
0.40755806,35213.01638,171.000288,0.001317,0.654083,0.06015593
0.40756963,35214.01603,171.999936,0.001317,0.654083,0.06015593
0.4075812,35215.01568,172.999584,0.001317,0.654083,0.06015593
0.40759277,35216.01533,173.999232,0.001317,0.654083,0.06015593
0.40760434,35217.01498,174.99888,0.001317,0.654083,0.06015593
0.40761591,35218.01462,175.998528,0.001317,0.654083,0.06249242
0.40762749,35219.01514,176.99904,0.001317,0.654083,0.06249242
0.40763908,35220.01651,178.000416,0.001317,0.654083,0.06249242
0.40765065,35221.01616,179.000064,0.001317,0.654083,0.06249242
0.40766222,35222.01581,179.999712,0.001317,0.654083,0.06249242
0.40767379,35223.01546,180.99936,0.001317,0.654083,0.06108234
0.40768536,35224.0151,181.999008,0.001317,0.654083,0.06108234
0.40769695,35225.01648,183.000384,0.001317,0.654083,0.06108234
0.40770852,35226.01613,184.000032,0.001317,0.654083,0.06108234
0.40772009,35227.01578,184.99968,0.001317,0.654083,0.06108234
0.40773166,35228.01542,185.999328,0.001317,0.654083,0.06108234
0.40774323,35229.01507,186.998976,0.001317,0.654083,0.05906431
0.40775482,35230.01645,188.000352,0.001317,0.654083,0.05906431
0.40776639,35231.0161,189,0.001317,0.654083,0.05906431
