Coagulant mL/s	Turbidity										
0.0019753	0.17694855										
0.0019753	0.17694855										
0.0019753	0.17694855										
0.0019753	0.17694855										
0.0019753	0.17694855										
0.0019753	0.17802164										
0.0019753	0.17802164										
0.0019753	0.17802164										
0.0019753	0.17802164										
0.0019753	0.17802164										
0.0019753	0.17286444										
0.0019753	0.17286444										
0.0019753	0.17286444										
0.0019753	0.17286444										
0.0019753	0.17286444										
0.0019753	0.17286444										
0.0019753	0.16787091										
0.0019753	0.16787091										
0.0019753	0.16787091										
0.0019753	0.16787091										
0.0019753	0.16787091										
0.0019753	0.17219183										
0.0019753	0.17219183										
0.0019753	0.17219183										
0.0019753	0.17219183										
0.0019753	0.17219183										
0.0019753	0.17959319										
0.0019753	0.17959319										
0.0019753	0.17959319										
0.0019753	0.17959319										
0.0019753	0.17959319										
0.0019753	0.17410162										
0.0019753	0.17410162										
0.0019753	0.17410162										
0.0019753	0.17410162										
0.0019753	0.17410162										
0.0019753	0.17024788										
0.0019753	0.17024788										
0.0019753	0.17024788										
0.0019753	0.17024788										
0.0019753	0.17024788										
0.0019753	0.16891953										
0.0019753	0.16891953										
0.0019753	0.16891953										
0.0019753	0.16891953										
0.0019753	0.16891953										
0.0019753	0.16391578										
0.0019753	0.16391578										
0.0019753	0.16391578										
0.0019753	0.16391578										
0.0019753	0.16391578										
0.0019753	0.16267216										
0.0019753	0.16267216										
0.0019753	0.16267216										
0.0019753	0.16267216										
0.0019753	0.16267216										
0.0019753	0.16126482										
0.0019753	0.16126482										
0.0019753	0.16126482										
0.0019753	0.16126482										
0.0019753	0.16126482										
0.0019753	0.16115378										
0.0019753	0.16115378										
0.0019753	0.16115378										
0.0019753	0.16115378										
0.0019753	0.16115378										
0.0019753	0.1615873										
0.0019753	0.1615873										
0.0019753	0.1615873										
0.0019753	0.1615873										
0.0019753	0.1615873										
0.0019753	0.1624255										
0.0019753	0.1624255										
0.0019753	0.1624255										
0.0019753	0.1624255										
0.0019753	0.1624255										
0.0019753	0.16346948										
0.0019753	0.16346948										
0.0019753	0.16346948										
0.0019753	0.16346948										
0.0019753	0.16346948										
0.0019753	0.16151489										
0.0019753	0.16151489										
0.0019753	0.16151489										
0.0019753	0.16151489										
0.0019753	0.16151489										
0.0019753	0.1659618										
0.0019753	0.1659618										
0.0019753	0.1659618										
0.0019753	0.1659618										
0.0019753	0.1659618										
0.0019753	0.16475704										
0.0019753	0.16475704										
0.0019753	0.16475704										
0.0019753	0.16475704										
0.0019753	0.16475704										
0.0019753	0.16260536										
0.0019753	0.16260536										
0.0019753	0.16260536										
0.0019753	0.16260536										
0.0019753	0.16260536										
0.0019753	0.16220099										
0.0019753	0.16220099										
0.0019753	0.16220099										
0.0019753	0.16220099										
0.0019753	0.16220099										
0.0019753	0.19639724										
0.0019753	0.19639724										
0.0019753	0.19639724										
0.0019753	0.19639724										
0.0019753	0.19639724										
0.0019753	0.18280451										
0.0019753	0.18280451										
0.0019753	0.18280451										
0.0019753	0.18280451										
0.0019753	0.18280451										
0.0019753	0.21460241										
0.0019753	0.21460241										
0.0019753	0.21460241										
0.0019753	0.21460241										
0.0019753	0.21460241										
0.0019753	0.21410561										
0.0019753	0.21410561										
0.0019753	0.21410561										
0.0019753	0.21410561										
0.0019753	0.21410561										
0.0019753	0.21730033										
0.0019753	0.21730033										
0.0019753	0.21730033										
0.0019753	0.21730033										
0.0019753	0.21730033										
0.0019753	0.19903776										
0.0019753	0.19903776										
0.0019753	0.19903776										
0.0019753	0.19903776										
0.0019753	0.19903776										
0.0019753	0.18502158										
0.0019753	0.18502158										
0.0019753	0.18502158										
0.0019753	0.18502158										
0.0019753	0.18502158										
0.0019753	0.19898114										
0.0019753	0.19898114										
0.0019753	0.19898114										
0.0019753	0.19898114										
0.0019753	0.19898114										
0.0019753	0.19185382										
0.0019753	0.19185382										
0.0019753	0.19185382										
0.0019753	0.19185382										
0.0019753	0.19185382										
0.0019753	0.19243774										
0.0019753	0.19243774										
0.0019753	0.19243774										
0.0019753	0.19243774										
0.0019753	0.19243774										
0.0019753	0.19860888										
0.0019753	0.19860888										
0.0019753	0.19860888										
0.0019753	0.19860888										
0.0019753	0.19860888										
0.0019753	0.20875901										
0.0019753	0.20875901										
0.0019753	0.20875901										
0.0019753	0.20875901										
0.0019753	0.20875901										
0.0019753	0.25003409										
0.0019753	0.25003409										
0.0019753	0.25003409										
0.0019753	0.25003409										
0.0019753	0.25003409										
0.0019753	0.31612277										
0.0019753	0.31612277										
0.0019753	0.31612277										
0.0019753	0.31612277										
0.0019753	0.31612277										
0.0019753	0.35202363										
0.0019753	0.35202363										
0.0019753	0.35202363										
0.0019753	0.35202363										
0.0019753	0.35202363										
0.0019753	0.58284497										
0.0019753	0.58284497										
0.0019753	0.58284497										
0.0019753	0.58284497										
0.0019753	0.58284497										
0.0019753	0.58621466										
0.0019753	0.58621466										
0.0019753	0.58621466										
0.0019753	0.58621466										
0.0019753	0.58621466										
0.0019753	0.66377902										
0.0019753	0.66377902										
0.0019753	0.66377902										
0.0019753	0.66377902										
0.0019753	0.66377902										
0.0019753	0.70223969										
0.0019753	0.70223969										
0.0019753	0.70223969										
0.0019753	0.70223969										
0.0019753	0.70223969										
0.0019753	0.94341302										
0.0019753	0.94341302										
0.0019753	0.94341302										
0.0019753	0.94341302										
0.0019753	0.94341302										
0.0019753	1.08156765										
0.0019753	1.08156765										
0.0019753	1.08156765										
0.0019753	1.08156765										
0.0019753	1.08156765										
0.0019753	0.97707623										
0.0019753	0.97707623										
0.0019753	0.97707623										
0.0019753	0.97707623										
0.0019753	0.97707623										
0.0019753	0.97707623										
0.0019753	1.05117643										
0.0019753	1.05117643										
0.0019753	1.05117643										
0.0019753	1.05117643										
0.0019753	1.05117643										
0.0019753	0.9817906										
0.0019753	0.9817906										
0.0019753	0.9817906										
0.0019753	0.9817906										
0.0019753	0.9817906										
0.0019753	0.83626503										
0.0019753	0.83626503										
0.0019753	0.83626503										
0.0019753	0.83626503										
0.0019753	0.83626503										
0.0019753	0.8896426										
0.0019753	0.8896426										
0.0019753	0.8896426										
0.0019753	0.8896426										
0.0019753	0.8896426										
0.0019753	0.96594834										
0.0019753	0.96594834										
0.0019753	0.96594834										
0.0019753	0.96594834										
0.0019753	0.96594834										
0.0019753	1.02675462										
0.0019753	1.02675462										
0.0019753	1.02675462										
0.0019753	1.02675462										
0.0019753	1.02675462										
0.0019753	0.93906468										
0.0019753	0.93906468										
0.0019753	0.93906468										
0.0019753	0.93906468										
0.0019753	0.93906468										
0.0019753	1.093503										
0.0019753	1.093503										
0.0019753	1.093503										
0.0019753	1.093503										
0.0019753	1.093503										
0.0019753	1.35983634										
0.0019753	1.35983634										
0.0019753	1.35983634										
0.0019753	1.35983634										
0.0019753	1.35983634										
0.0019753	1.53392959										
0.0019753	1.53392959										
0.0019753	1.53392959										
0.0019753	1.53392959										
0.0019753	1.53392959										
0.0019753	1.7085284										
0.0019753	1.7085284										
0.0019753	1.7085284										
0.0019753	1.7085284										
0.0019753	1.7085284										
0.0019753	1.5595423										
0.0019753	1.5595423										
0.0019753	1.5595423										
0.0019753	1.5595423										
0.0019753	1.5595423										
0.0019753	1.8377955										
0.0019753	1.8377955										
0.0019753	1.8377955										
0.0019753	1.8377955										
0.0019753	1.8377955										
0.0019753	2.20187569										
0.0019753	2.20187569										
0.0019753	2.20187569										
0.0019753	2.20187569										
0.0019753	2.20187569										
0.0019753	2.04555106										
0.0019753	2.04555106										
0.0019753	2.04555106										
0.0019753	2.04555106										
0.0019753	2.04555106										
0.0019753	2.11797976										
0.0019753	2.11797976										
0.0019753	2.11797976										
0.0019753	2.11797976										
0.0019753	2.11797976										
0.0019753	2.71437335										
0.0019753	2.71437335										
0.0019753	2.71437335										
0.0019753	2.71437335										
0.0019753	2.71437335										
0.0019753	2.67772126										
0.0019753	2.67772126										
0.0019753	2.67772126										
0.0019753	2.67772126										
0.0019753	2.67772126										
0.0019753	2.34405017										
0.0019753	2.34405017										
0.0019753	2.34405017										
0.0019753	2.34405017										
0.0019753	2.34405017										
0.0019753	2.12764549										
0.0019753	2.12764549										
0.0019753	2.12764549										
0.0019753	2.12764549										
0.0019753	2.12764549										
0.0019753	2.5154953										
0.0019753	2.5154953										
0.0019753	2.5154953										
0.0019753	2.5154953										
0.0019753	2.5154953										
0.0019753	2.55127239										
0.0019753	2.55127239										
0.0019753	2.55127239										
0.0019753	2.55127239										
0.0019753	2.55127239										
0.0019753	2.66594076										
0.0019753	2.66594076										
0.0019753	2.66594076										
0.0019753	2.66594076										
0.0019753	2.66594076										
0.0019753	2.48374534										
0.0019753	2.48374534										
0.0019753	2.48374534										
0.0019753	2.48374534										
0.0019753	2.48374534										
0.0019753	2.27022123										
0.0019753	2.27022123										
0.0019753	2.27022123										
0.0019753	2.27022123										
0.0019753	2.27022123										
0.0019753	2.35919499										
0.0019753	2.35919499										
0.0019753	2.35919499										
0.0019753	2.35919499										
0.0019753	2.35919499										
0.0019753	2.70366192										
0.0019753	2.70366192										
0.0019753	2.70366192										
