Coagulant mL/s	Turbidity	Average Turbidity
0.0052668	1.84486628	
0.0052668	1.84486628	
0.0052668	1.84486628	
0.0052668	1.84486628	
0.0052668	1.84486628	
0.0052668	1.45796752	
0.0052668	1.45796752	
0.0052668	1.45796752	
0.0052668	1.45796752	
0.0052668	1.45796752	
0.0052668	2.09364724	
0.0052668	2.09364724	
0.0052668	2.09364724	
0.0052668	2.09364724	
0.0052668	2.09364724	
0.0052668	1.53778327	
0.0052668	1.53778327	
0.0052668	1.53778327	
0.0052668	1.53778327	
0.0052668	1.53778327	
0.0052668	1.29110467	
0.0052668	1.29110467	
0.0052668	1.29110467	
0.0052668	1.29110467	
0.0052668	1.29110467	
0.0052668	1.07802117	
0.0052668	1.07802117	
0.0052668	1.07802117	
0.0052668	1.07802117	
0.0052668	1.07802117	
0.0052668	1.31160486	
0.0052668	1.31160486	
0.0052668	1.31160486	
0.0052668	1.31160486	
0.0052668	1.31160486	
0.0052668	1.27546465	
0.0052668	1.27546465	
0.0052668	1.27546465	
0.0052668	1.27546465	
0.0052668	1.27546465	
0.0052668	1.67518616	
0.0052668	1.67518616	
0.0052668	1.67518616	
0.0052668	1.67518616	
0.0052668	1.67518616	
0.0052668	1.23055828	
0.0052668	1.23055828	
0.0052668	1.23055828	
0.0052668	1.23055828	
0.0052668	1.23055828	
0.0052668	1.94030416	
0.0052668	1.94030416	
0.0052668	1.94030416	
0.0052668	1.94030416	
0.0052668	1.94030416	
0.0052668	2.20078993	
0.0052668	2.20078993	
0.0052668	2.20078993	
0.0052668	2.20078993	
0.0052668	2.20078993	
0.0052668	1.78782737	
0.0052668	1.78782737	
0.0052668	1.78782737	
0.0052668	1.78782737	
0.0052668	1.78782737	
0.0052668	1.72332287	
0.0052668	1.72332287	
0.0052668	1.72332287	
0.0052668	1.72332287	
0.0052668	1.72332287	
0.0052668	1.42409611	
0.0052668	1.42409611	
0.0052668	1.42409611	
0.0052668	1.42409611	
0.0052668	1.42409611	
0.0052668	1.49045992	
0.0052668	1.49045992	
0.0052668	1.49045992	
0.0052668	1.49045992	
0.0052668	1.49045992	
0.0052668	1.44675303	
0.0052668	1.44675303	
0.0052668	1.44675303	
0.0052668	1.44675303	
0.0052668	1.44675303	
0.0052668	1.33673143	
0.0052668	1.33673143	
0.0052668	1.33673143	
0.0052668	1.33673143	
0.0052668	1.33673143	
0.0052668	1.33673143	
0.0052668	1.02421105	
0.0052668	1.02421105	
0.0052668	1.02421105	
0.0052668	1.02421105	
0.0052668	1.02421105	
0.0052668	0.82825094	
0.0052668	0.82825094	
0.0052668	0.82825094	
0.0052668	0.82825094	
0.0052668	0.82825094	
0.0052668	0.80555862	
0.0052668	0.80555862	
0.0052668	0.80555862	
0.0052668	0.80555862	
0.0052668	0.80555862	
0.0052668	0.67787182	
0.0052668	0.67787182	
0.0052668	0.67787182	
0.0052668	0.67787182	
0.0052668	0.67787182	
0.0052668	0.50806248	
0.0052668	0.50806248	
0.0052668	0.50806248	
0.0052668	0.50806248	
0.0052668	0.50806248	
0.0052668	0.52712792	
0.0052668	0.52712792	
0.0052668	0.52712792	
0.0052668	0.52712792	
0.0052668	0.52712792	
0.0052668	0.64023662	
0.0052668	0.64023662	
0.0052668	0.64023662	
0.0052668	0.64023662	
0.0052668	0.64023662	
0.0052668	0.7745688	
0.0052668	0.7745688	
0.0052668	0.7745688	
0.0052668	0.7745688	
0.0052668	0.7745688	
0.0052668	1.00246489	
0.0052668	1.00246489	
0.0052668	1.00246489	
0.0052668	1.00246489	
0.0052668	1.00246489	
0.0052668	1.24512672	
0.0052668	1.24512672	
0.0052668	1.24512672	
0.0052668	1.24512672	
0.0052668	1.24512672	
0.0052668	1.08528364	
0.0052668	1.08528364	
0.0052668	1.08528364	
0.0052668	1.08528364	
0.0052668	1.08528364	
0.0052668	2.02657676	
0.0052668	2.02657676	
0.0052668	2.02657676	
0.0052668	2.02657676	
0.0052668	2.02657676	
0.0052668	1.74249935	
0.0052668	1.74249935	
0.0052668	1.74249935	
0.0052668	1.74249935	
0.0052668	1.74249935	
0.0052668	1.49255562	
0.0052668	1.49255562	
0.0052668	1.49255562	
0.0052668	1.49255562	
0.0052668	1.49255562	
0.0052668	2.35603333	
0.0052668	2.35603333	
0.0052668	2.35603333	
0.0052668	2.35603333	
0.0052668	2.35603333	
0.0052668	2.5900054	
0.0052668	2.5900054	
0.0052668	2.5900054	
0.0052668	2.5900054	
0.0052668	2.5900054	
0.0052668	2.36619306	
0.0052668	2.36619306	
0.0052668	2.36619306	
0.0052668	2.36619306	
0.0052668	2.36619306	
0.0052668	3.09768128	
0.0052668	3.09768128	
