Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	new set point ()
0.44965295	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08235167	NaN
0.44966452	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08025101	NaN
Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Water Flush  ()
0.44967609	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08025101	NaN
Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Water Flush Pump ()
0.44968766	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08025101	NaN
0.44969923	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08025101	NaN
0.44971081	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08025101	NaN
0.44972240	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07925705	NaN
0.44973396	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07925705	NaN
0.44974553	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07925705	NaN
0.44975711	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07925705	NaN
0.44976870	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07925705	NaN
0.44978026	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07340259	NaN
0.44979183	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07340259	NaN
0.44980343	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07340259	NaN
0.44981498	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07340259	NaN
0.44982657	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07340259	NaN
0.44983814	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08020261	NaN
0.44984971	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08020261	NaN
0.44986128	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08020261	NaN
0.44987287	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08020261	NaN
0.44988443	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08020261	NaN
0.44989600	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08020261	NaN
0.44990757	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06766261	NaN
0.44991916	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06766261	NaN
0.44993073	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06766261	NaN
0.44994230	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06766261	NaN
0.44995387	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06021811	NaN
0.44996544	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06021811	NaN
0.44997703	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06021811	NaN
0.44998860	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06021811	NaN
0.45000017	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06021811	NaN
0.45001174	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05314183	NaN
0.45002331	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05314183	NaN
0.45003489	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05314183	NaN
0.45004645	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05314183	NaN
0.45005803	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05314183	NaN
0.45006962	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04797741	NaN
0.45008119	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04797741	NaN
0.45009278	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04797741	NaN
0.45010433	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04797741	NaN
0.45011590	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04797741	NaN
0.45012749	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04651494	NaN
0.45013908	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04651494	NaN
0.45015062	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04651494	NaN
0.45016221	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04651494	NaN
0.45017378	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04651494	NaN
0.45018535	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04668360	NaN
0.45019694	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04668360	NaN
0.45020851	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04668360	NaN
0.45022008	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04668360	NaN
0.45023164	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04668360	NaN
0.45024321	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04591358	NaN
0.45025480	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04591358	NaN
0.45026637	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04591358	NaN
0.45027794	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04591358	NaN
0.45028951	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04591358	NaN
0.45030110	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04248771	NaN
0.45031267	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04248771	NaN
0.45032424	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04248771	NaN
0.45033581	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04248771	NaN
0.45034740	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04248771	NaN
0.45035897	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03871706	NaN
0.45037054	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03871706	NaN
0.45038211	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03871706	NaN
0.45039370	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03871706	NaN
0.45040527	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03871706	NaN
0.45041684	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03592904	NaN
0.45042841	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03592904	NaN
0.45043998	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03592904	NaN
0.45045155	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03592904	NaN
0.45046314	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03592904	NaN
0.45047471	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03548095	NaN
0.45048628	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03548095	NaN
0.45049786	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03548095	NaN
0.45050943	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03548095	NaN
0.45052100	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03548095	NaN
0.45053257	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03668888	NaN
0.45054416	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03668888	NaN
0.45055573	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03668888	NaN
0.45056730	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03668888	NaN
0.45057887	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03668888	NaN
0.45059044	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03919856	NaN
0.45060203	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03919856	NaN
0.45061359	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03919856	NaN
0.45062516	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03919856	NaN
0.45063675	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03919856	NaN
0.45064832	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04343507	NaN
0.45065989	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04343507	NaN
0.45067148	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04343507	NaN
0.45068305	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04343507	NaN
0.45069462	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04343507	NaN
0.45070619	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04240525	NaN
0.45071776	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04240525	NaN
0.45072933	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04240525	NaN
0.45074090	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04240525	NaN
0.45075249	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04240525	NaN
0.45076406	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04748267	NaN
0.45077563	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04748267	NaN
0.45078720	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04748267	NaN
0.45079879	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04748267	NaN
0.45081036	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04748267	NaN
0.45082192	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04907773	NaN
0.45083349	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04907773	NaN
0.45084507	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04907773	NaN
0.45085666	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04907773	NaN
0.45086823	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04907773	NaN
0.45087980	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05106008	NaN
0.45089137	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05106008	NaN
0.45090294	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05106008	NaN
0.45091451	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05106008	NaN
0.45092610	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05106008	NaN
0.45093767	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05374879	NaN
0.45094924	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05374879	NaN
0.45096082	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05374879	NaN
0.45097239	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05374879	NaN
0.45098395	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05374879	NaN
0.45099555	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06068462	NaN
0.45100712	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	0.06068462	NaN
0.45101869	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45103026	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45104183	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45105340	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45106499	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45107656	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45108814	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
0.45109971	-0.99934170	-0.63110000	NaN	0.00000000	0.00000000	-999.00000000	NaN
