Day fraction since midnight on 11/3/2019,Time (seconds),Time Elapsed (seconds),Fluoride Probe (volts),Coag Flow mL/s (),Water Flow mL/s (),Manual Water Pump Control (rpm),Manual Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity ()
start expt,,,,,,,,,
0.50,43136.79926,105.998976,0.1826393,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.28229809
0.50,43137.79891,106.998624,0.1806501,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.28229809
0.50,43138.79856,107.998272,0.18172179,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.29047909
0.50,43139.8008,109.000512,0.18119253,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.29047909
0.50,43140.79786,109.997568,0.18109344,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.29047909
0.50,43141.8001,110.999808,0.18118155,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.29047909
0.50,43142.79888,111.998592,0.18325555,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.29047909
0.50,43143.79853,112.99824,0.18151699,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27848157
0.50,43144.79818,113.997888,0.18115701,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27848157
0.50,43145.79955,114.999264,0.18175837,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27848157
0.50,43146.7992,115.998912,0.18107606,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27848157
0.50,43147.79885,116.99856,0.18127526,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27848157
0.50,43148.79763,117.997344,0.18076955,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27640417
0.50,43149.79814,118.997856,0.18132901,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27640417
0.50,43150.79952,119.999232,0.18136002,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27640417
0.50,43151.79917,120.99888,0.18203335,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27640417
0.50,43152.79795,121.997664,0.18169656,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27640417
0.50,43153.7976,122.997312,0.18250379,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27511656
0.50,43154.79984,123.999552,0.18275027,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27511656
0.50,43155.79949,124.9992,0.1828275,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27511656
0.50,43156.79914,125.998848,0.18239394,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27511656
0.50,43157.79792,126.997632,0.18230405,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27511656
0.50,43158.7993,127.999008,0.1818306,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27002102
0.50,43159.79894,128.998656,0.18203229,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27002102
0.50,43160.79859,129.998304,0.1802014,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27002102
0.50,43161.79824,130.997952,0.18248412,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27002102
0.50,43162.79789,131.9976,0.18200338,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27002102
0.50,43163.79926,132.998976,0.18099865,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27374443
0.50,43164.79891,133.998624,0.18190582,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27374443
0.50,43165.79856,134.998272,0.18128502,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27374443
0.50,43166.79821,135.99792,0.18059956,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27374443
0.50,43167.79786,136.997568,0.18418683,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27374443
0.50,43168.7975,137.997216,0.18051106,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27338973
0.50,43169.79802,138.997728,0.17946722,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27338973
0.50,43170.79939,139.999104,0.18262313,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27338973
0.50,43171.79904,140.998752,0.18152833,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27338973
0.50,43172.80042,142.000128,0.18121162,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27338973
0.50,43173.79834,142.998048,0.1814938,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26953095
0.50,43174.79798,143.997696,0.18283096,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26953095
0.50,43175.79763,144.997344,0.1809639,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26953095
0.50,43176.79901,145.99872,0.18228957,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26953095
0.50,43177.79866,146.998368,0.17983492,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26953095
0.50,43178.7983,147.998016,0.18027265,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.2695936
0.50,43179.79968,148.999392,0.18079233,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.2695936
0.50,43180.79933,149.99904,0.18054849,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.2695936
0.50,43181.79898,150.998688,0.18017118,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.2695936
0.50,43182.79776,151.997472,0.18069746,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.2695936
0.50,43183.79914,152.998848,0.19486532,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27066907
0.50,43184.79878,153.998496,0.19366401,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27066907
0.50,43185.79843,154.998144,0.18908896,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27066907
0.50,43186.79808,155.997792,0.1850072,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27066907
0.50,43187.79773,156.99744,0.18736103,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27066907
0.50,43188.7991,157.998816,0.18082295,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26995
0.50,43189.79875,158.998464,0.17986046,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26995
0.50,43190.79754,159.997248,0.18168572,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26995
0.50,43191.79978,160.999488,0.19088972,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26995
0.50,43192.79942,161.999136,0.18722099,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26995
0.50,43193.79907,162.998784,0.18123862,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26909244
0.50,43194.79872,163.998432,0.1804868,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26909244
