Day fraction since midnight on 10/20/2019,Time (seconds),Time since start (seconds),Water Pump Control (rpm),Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity (),Just Water Pump Control (rpm)
start 1st expt 10,,,,,,,
0.45786029,39559.12906,141.999264,37.4325,19.00125,9.5025,0.25569373,60
0.45787188,39560.13043,143.00064,37.4325,19.00125,9.5025,0.25569373,60
0.45788345,39561.13008,144.000288,37.4325,19.00125,9.5025,0.24674512,60
0.45789501,39562.12886,144.999072,37.4325,19.00125,9.5025,0.24674512,60
0.4579066,39563.13024,146.000448,37.4325,19.00125,9.5025,0.24674512,60
0.45791817,39564.12989,147.000096,37.4325,19.00125,9.5025,0.24674512,60
0.45792974,39565.12954,147.999744,37.4325,19.00125,9.5025,0.24674512,60
0.45794133,39566.13091,149.00112,37.4325,19.00125,9.5025,0.23659791,60
0.4579529,39567.13056,150.000768,37.4325,19.00125,9.5025,0.23659791,60
0.45796446,39568.12934,150.999552,37.4325,19.00125,9.5025,0.23659791,60
0.45797603,39569.12899,151.9992,37.4325,19.00125,9.5025,0.23659791,60
0.4579876,39570.12864,152.998848,37.4325,19.00125,9.5025,0.23659791,60
0.45799919,39571.13002,154.000224,37.4325,19.00125,9.5025,0.23659791,60
0.45801076,39572.12966,154.999872,37.4325,19.00125,9.5025,0.22444811,60
0.45802233,39573.12931,155.99952,37.4325,19.00125,9.5025,0.22444811,60
0.45803392,39574.13069,157.000896,37.4325,19.00125,9.5025,0.22444811,60
0.45804549,39575.13034,158.000544,37.4325,19.00125,9.5025,0.22444811,60
0.45805706,39576.12998,159.000192,37.4325,19.00125,9.5025,0.22444811,60
0.45806862,39577.12877,159.998976,37.4325,19.00125,9.5025,0.23811136,60
0.45808019,39578.12842,160.998624,37.4325,19.00125,9.5025,0.23811136,60
0.45809178,39579.12979,162,37.4325,19.00125,9.5025,0.23811136,60
0.45810335,39580.12944,162.999648,37.4325,19.00125,9.5025,0.23811136,60
0.45811492,39581.12909,163.999296,37.4325,19.00125,9.5025,0.23811136,60
0.45812651,39582.13046,165.000672,37.4325,19.00125,9.5025,0.23811136,60
0.45813807,39583.12925,165.999456,37.4325,19.00125,9.5025,0.23811136,60
0.45814964,39584.1289,166.999104,37.4325,19.00125,9.5025,0.23603036,60
0.45816123,39585.13027,168.00048,37.4325,19.00125,9.5025,0.23603036,60
0.4581728,39586.12992,169.000128,37.4325,19.00125,9.5025,0.23603036,60
0.45818437,39587.12957,169.999776,37.4325,19.00125,9.5025,0.23603036,60
0.45819596,39588.13094,171.001152,37.4325,19.00125,9.5025,0.23603036,60
0.45820752,39589.12973,171.999936,37.4325,19.00125,9.5025,0.23121913,60
0.45821909,39590.12938,172.999584,37.4325,19.00125,9.5025,0.23121913,60
0.45823069,39591.13162,174.001824,37.4325,19.00125,9.5025,0.23121913,60
0.45824225,39592.1304,175.000608,37.4325,19.00125,9.5025,0.23121913,60
0.45825382,39593.13005,176.000256,37.4325,19.00125,9.5025,0.23121913,60
0.45826539,39594.1297,176.999904,37.4325,19.00125,9.5025,0.23121913,60
0.45827695,39595.12848,177.998688,37.4325,19.00125,9.5025,0.2183266,60
0.45828853,39596.12899,178.9992,37.4325,19.00125,9.5025,0.2183266,60
0.4583001,39597.12864,179.998848,37.4325,19.00125,9.5025,0.2183266,60
0.45831169,39598.13002,181.000224,37.4325,19.00125,9.5025,0.2183266,60
0.45832326,39599.12966,181.999872,37.4325,19.00125,9.5025,0.2183266,60
0.45833483,39600.12931,182.99952,37.4325,19.00125,9.5025,0.21026918,60
0.4583464,39601.12896,183.999168,37.4325,19.00125,9.5025,0.21026918,60
0.45835799,39602.13034,185.000544,37.4325,19.00125,9.5025,0.21026918,60
0.45836955,39603.12912,185.999328,37.4325,19.00125,9.5025,0.21026918,60
0.45838112,39604.12877,186.998976,37.4325,19.00125,9.5025,0.21026918,60
0.45839271,39605.13014,188.000352,37.4325,19.00125,9.5025,0.21026918,60
0.45840428,39606.12979,189,37.4325,19.00125,9.5025,0.20522989,60
0.45841585,39607.12944,189.999648,37.4325,19.00125,9.5025,0.20522989,60
0.45842742,39608.12909,190.999296,37.4325,19.00125,9.5025,0.20522989,60
0.45843901,39609.13046,192.000672,37.4325,19.00125,9.5025,0.20522989,60
0.45845058,39610.13011,193.00032,37.4325,19.00125,9.5025,0.20522989,60
0.45846217,39611.13149,194.001696,37.4325,19.00125,9.5025,0.20051919,60
0.45847371,39612.12854,194.998752,37.4325,19.00125,9.5025,0.20051919,60
0.4584853,39613.12992,196.000128,37.4325,19.00125,9.5025,0.20051919,60
0.45849688,39614.13043,197.00064,37.4325,19.00125,9.5025,0.20051919,60
0.45850844,39615.12922,197.999424,37.4325,19.00125,9.5025,0.20051919,60
0.45852001,39616.12886,198.999072,37.4325,19.00125,9.5025,0.20051919,60
0.4585316,39617.13024,200.000448,37.4325,19.00125,9.5025,0.19889435,60
0.45854317,39618.12989,201.000096,37.4325,19.00125,9.5025,0.19889435,60
0.45855474,39619.12954,201.999744,37.4325,19.00125,9.5025,0.19889435,60
0.45856631,39620.12918,202.999392,37.4325,19.00125,9.5025,0.19889435,60
0.45857788,39621.12883,203.99904,37.4325,19.00125,9.5025,0.19889435,60
