Day fraction since midnight on 11/3/2019	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.42060671	0.18689272	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42061827	0.19067179	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42062984	0.18721664	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42064143	0.18797417	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42065300	0.23527221	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42066457	0.39524972	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42067614	0.57434827	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42068773	0.45360383	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42069930	0.60465544	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42071086	0.60222924	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42072245	0.59973502	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42073402	0.60340303	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42074559	0.59935379	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42075716	0.58879721	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42076875	0.59059209	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42078032	0.60307378	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42079188	0.59012163	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42080345	0.60097092	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42081505	0.59563816	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42082661	0.32740456	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42083818	0.40538844	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42084977	0.30423537	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42086134	0.43389386	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42087290	0.38979185	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42088450	0.28542224	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42089606	0.25480643	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42090763	0.32526660	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42091920	0.36959693	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42093079	0.33977878	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42094235	0.32289040	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42095392	0.36785558	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42096549	0.33985683	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42097708	0.32976297	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42098865	0.33603001	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42100022	0.34229618	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42101179	0.35036781	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42102338	0.31342533	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42103494	0.26784897	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42104652	0.25372604	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42105809	0.28220841	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42106968	0.25519690	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
