Day fraction since midnight on 11/11/2019	Time (seconds)	Time Elapsed (seconds)	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Capture Velocity Pump ()	Effluent Fluoride Concentration (mg/L)	Flocculated Fluoride (mg/L)
Start expt!												
0.65768534	56824.01338	80.000352	0.10541798	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.021612	0.50307692	0.445276779	4.554723221
0.65769693	56825.01475	81.001728	0.10480801	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02115522	0.50307692	0.432298364	4.567701636
0.6577085	56826.0144	82.001376	0.10542184	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02115522	0.50307692	0.445360137	4.554639863
0.65772007	56827.01405	83.001024	0.10594521	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02115522	0.50307692	0.456808243	4.543191757
0.65773164	56828.0137	84.000672	0.1050913	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02115522	0.50307692	0.438278237	4.561721763
0.65774321	56829.01334	85.00032	0.10485523	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02115522	0.50307692	0.433289418	4.566710582
0.6577548	56830.01472	86.001696	0.10573167	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02007048	0.50307692	0.452102188	4.547897812
0.65776638	56831.01523	87.002208	0.10548857	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02007048	0.50307692	0.446803667	4.553196333
0.65777795	56832.01488	88.001856	0.1053423	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02007048	0.50307692	0.443645587	4.556354413
0.65778952	56833.01453	89.001504	0.10475604	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02007048	0.50307692	0.431210237	4.568789763
0.65780109	56834.01418	90.001152	0.10454776	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02007048	0.50307692	0.426876768	4.573123232
