Manual Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity (),Capture Velocity Pump (),Capture V Flow mL/s (mL/s)
32.51851852,8.34074074,0.09453633,1.38276923,0.08988
32.51851852,8.34074074,0.09453633,1.38276923,0.08988
32.51851852,8.34074074,0.09453633,1.38276923,0.08988
32.51851852,8.34074074,0.09453633,1.38276923,0.08988
32.51851852,8.34074074,0.09453633,1.38276923,0.08988
32.51851852,8.34074074,0.09059677,1.38276923,0.08988
32.51851852,8.34074074,0.09059677,1.38276923,0.08988
32.51851852,8.34074074,0.09059677,1.38276923,0.08988
32.51851852,8.34074074,0.09059677,1.38276923,0.08988
32.51851852,8.34074074,0.09059677,1.38276923,0.08988
32.51851852,8.34074074,0.09503452,1.38276923,0.08988
32.51851852,8.34074074,0.09503452,1.38276923,0.08988
32.51851852,8.34074074,0.09503452,1.38276923,0.08988
32.51851852,8.34074074,0.09503452,1.38276923,0.08988
32.51851852,8.34074074,0.09503452,1.38276923,0.08988
32.51851852,8.34074074,0.08848399,1.38276923,0.08988
32.51851852,8.34074074,0.08848399,1.38276923,0.08988
32.51851852,8.34074074,0.08848399,1.38276923,0.08988
32.51851852,8.34074074,0.08848399,1.38276923,0.08988
32.51851852,8.34074074,0.08848399,1.38276923,0.08988
32.51851852,8.34074074,0.08214632,1.38276923,0.08988
32.51851852,8.34074074,0.08214632,1.38276923,0.08988
32.51851852,8.34074074,0.08214632,1.38276923,0.08988
32.51851852,8.34074074,0.08214632,1.38276923,0.08988
32.51851852,8.34074074,0.08214632,1.38276923,0.08988
32.51851852,8.34074074,0.08406106,1.38276923,0.08988
32.51851852,8.34074074,0.08406106,1.38276923,0.08988
32.51851852,8.34074074,0.08406106,1.38276923,0.08988
32.51851852,8.34074074,0.08406106,1.38276923,0.08988
32.51851852,8.34074074,0.08406106,1.38276923,0.08988
32.51851852,8.34074074,0.08270144,1.38276923,0.08988
32.51851852,8.34074074,0.08270144,1.38276923,0.08988
32.51851852,8.34074074,0.08270144,1.38276923,0.08988
32.51851852,8.34074074,0.08270144,1.38276923,0.08988
32.51851852,8.34074074,0.08270144,1.38276923,0.08988
32.51851852,8.34074074,0.07986411,1.38276923,0.08988
32.51851852,8.34074074,0.07986411,1.38276923,0.08988
32.51851852,8.34074074,0.07986411,1.38276923,0.08988
32.51851852,8.34074074,0.07986411,1.38276923,0.08988
32.51851852,8.34074074,0.07986411,1.38276923,0.08988
32.51851852,8.34074074,0.08458775,1.38276923,0.08988
32.51851852,8.34074074,0.08458775,1.38276923,0.08988
32.51851852,8.34074074,0.08458775,1.38276923,0.08988
32.51851852,8.34074074,0.08458775,1.38276923,0.08988
32.51851852,8.34074074,0.08458775,1.38276923,0.08988
32.51851852,8.34074074,0.08067755,1.38276923,0.08988
32.51851852,8.34074074,0.08067755,1.38276923,0.08988
32.51851852,8.34074074,0.08067755,1.38276923,0.08988
32.51851852,8.34074074,0.08067755,1.38276923,0.08988
32.51851852,8.34074074,0.08067755,1.38276923,0.08988
32.51851852,8.34074074,0.07942915,1.38276923,0.08988
32.51851852,8.34074074,0.07942915,1.38276923,0.08988
