Capture V Flow mL/s (mL/s),Turbidity (),Fluoride Probe (volts),Fluoride Conc,,Average Turbidity,0.1663464119
0.19120095,0.0159415,0.10998989,1.921314052,,,
0.19120095,0.0159415,0.10904684,2.013796349,,,
0.19120095,0.0159415,0.10914676,2.003790274,,,
0.19120095,0.0159415,0.10995378,1.924775787,,,
0.19120095,0.0159415,0.10916314,2.002154717,,,
0.19120095,0.01616298,0.10964321,1.954807691,,,
0.19120095,0.01616298,0.109987,1.921590877,,,
0.19120095,0.01616298,0.1091278,2.005685115,,,
0.19120095,0.01616298,0.11010722,1.910108975,,,
0.19120095,0.01616298,0.1099029,1.929664056,,,
0.19120095,0.01855099,0.108913,2.027277533,,,
0.19120095,0.01855099,0.10978863,1.940687782,,,
0.19120095,0.01855099,0.11062287,1.861633719,,,
0.19120095,0.01855099,0.10902835,2.015653424,,,
0.19120095,0.01855099,0.10927129,1.991389299,,,
0.19120095,0.02397883,0.10973748,1.94564265,,,
0.19120095,0.02397883,0.10816872,2.103909204,,,
0.19120095,0.02397883,0.11029971,1.891867447,,,
0.19120095,0.02397883,0.10928185,1.990341247,,,
0.19120095,0.02397883,0.10887138,2.031488122,,,
0.19120095,0.02150867,0.10889809,2.028784935,,,
0.19120095,0.02150867,0.10984139,1.935590175,,,
0.19120095,0.02150867,0.10882261,2.036433187,,,
0.19120095,0.02150867,0.10914215,2.004250828,,,
0.19120095,0.02150867,0.10856968,2.062272937,,,
0.19120095,0.01868383,0.10940313,1.978344004,,,
0.19120095,0.01868383,0.11031365,1.890553192,,,
0.19120095,0.01868383,0.10948482,1.970303864,,,
0.19120095,0.01868383,0.11007251,1.913416974,,,
0.19120095,0.01868383,0.10919208,1.999268295,,,
0.19120095,0.01664732,0.10950082,1.968732933,,,
0.19120095,0.01664732,0.10860212,2.05894057,,,
0.19120095,0.01664732,0.10973988,1.945409881,,,
0.19120095,0.01664732,0.1104386,1.878813676,,,
0.19120095,0.01664732,0.10896056,2.022476693,,,
0.19120095,0.01662252,0.10963445,1.955661538,,,
0.19120095,0.01662252,0.11046377,1.876457697,,,
0.19120095,0.01662252,0.10967125,1.952077107,,,
0.19120095,0.01662252,0.1091008,2.008386558,,,
0.19120095,0.01662252,0.10975919,1.943538073,,,
0.19120095,0.11738584,0.10959029,1.959971543,,,
0.19120095,0.11738584,0.1098229,1.937375131,,,
0.19120095,0.11738584,0.10982848,1.936836285,,,
0.19120095,0.11738584,0.10956117,1.962818844,,,
0.19120095,0.11738584,0.10885431,2.033217578,,,
0.19120095,0.0860637,0.11000893,1.919491264,,,
0.19120095,0.0860637,0.11032367,1.889609077,,,
0.19120095,0.0860637,0.10838255,2.081601242,,,
0.19120095,0.0860637,0.10872646,2.046217665,,,
0.19120095,0.0860637,0.10901938,2.016554959,,,
0.19120095,0.05834547,0.10889485,2.029112648,,,
0.19120095,0.05834547,0.11027049,1.894625256,,,
0.19120095,0.05834547,0.10951137,1.967697786,,,
0.19120095,0.05834547,0.10960977,1.95806913,,,
0.19120095,0.05834547,0.10905784,2.012692356,,,
0.19120095,0.04237586,0.10936056,1.982546849,,,
0.19120095,0.04237586,0.1102538,1.896202276,,,
0.19120095,0.04237586,0.10917092,2.001378345,,,
0.19120095,0.04237586,0.11012864,1.908070418,,,
0.19120095,0.04237586,0.10990616,1.929350481,,,
0.19120095,0.03170966,0.10980777,1.938836949,,,
0.19120095,0.03170966,0.10984987,1.934772097,,,
0.19120095,0.03170966,0.10881701,2.037001773,,,
0.19120095,0.03170966,0.10981629,1.938013635,,,
