Day fraction since midnight on 11/13/2019	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Capture Velocity Pump ()	Capture V Flow mL/s (mL/s)
0.55447660	0.08377846	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55448817	0.08350692	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55449974	0.08588441	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55451130	0.08555909	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55452289	0.08550955	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55453446	0.08624490	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55454603	0.08712519	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55455762	0.08557664	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55456917	0.08545958	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55458076	0.08512396	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55459233	0.08590128	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55460390	0.08553059	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55461547	0.08526686	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55462706	0.08360828	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55463864	0.08403703	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55465019	0.08364765	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55466178	0.08307973	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55467334	0.08287303	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55468493	0.08448868	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55469650	0.08398797	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55470807	0.08390298	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55471964	0.08533097	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55473123	0.08457395	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55474280	0.08484542	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55475436	0.08432143	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55476593	0.08356018	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55477752	0.08465139	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
