Coagulant mL/s	Turbidity	Average Turbidity
0.0046085	5.4852891	
0.0046085	5.4852891	
0.0046085	5.4852891	
0.0046085	5.4852891	
0.0046085	5.4852891	
0.0046085	6.12491512	
0.0046085	6.12491512	
0.0046085	6.12491512	
0.0046085	6.12491512	
0.0046085	6.12491512	
0.0046085	6.57073593	
0.0046085	6.57073593	
0.0046085	6.57073593	
0.0046085	6.57073593	
0.0046085	6.57073593	
0.0046085	6.60800266	
0.0046085	6.60800266	
0.0046085	6.60800266	
0.0046085	6.60800266	
0.0046085	6.60800266	
0.0046085	7.05496168	
0.0046085	7.05496168	
0.0046085	7.05496168	
0.0046085	7.05496168	
0.0046085	7.05496168	
0.0046085	7.17529821	
0.0046085	7.17529821	
0.0046085	7.17529821	
0.0046085	7.17529821	
0.0046085	7.17529821	
0.0046085	8.02551746	
0.0046085	8.02551746	
0.0046085	8.02551746	
0.0046085	8.02551746	
0.0046085	8.02551746	
0.0046085	9.03168297	
0.0046085	9.03168297	
0.0046085	9.03168297	
0.0046085	9.03168297	
0.0046085	9.03168297	
0.0046085	9.23631763	
0.0046085	9.23631763	
0.0046085	9.23631763	
0.0046085	9.23631763	
0.0046085	9.23631763	
0.0046085	10.03238487	
0.0046085	10.03238487	
0.0046085	10.03238487	
0.0046085	10.03238487	
0.0046085	10.03238487	
0.0046085	10.58481312	
0.0046085	10.58481312	
0.0046085	10.58481312	
0.0046085	10.58481312	
0.0046085	10.58481312	
0.0046085	9.84758759	
0.0046085	9.84758759	
0.0046085	9.84758759	
0.0046085	9.84758759	
0.0046085	9.84758759	
0.0046085	10.37858772	
0.0046085	10.37858772	
0.0046085	10.37858772	
0.0046085	10.37858772	
0.0046085	10.37858772	
0.0046085	10.72370052	
0.0046085	10.72370052	
0.0046085	10.72370052	
0.0046085	10.72370052	
0.0046085	10.72370052	
0.0046085	17.35777664	
0.0046085	17.35777664	
0.0046085	17.35777664	
0.0046085	17.35777664	
0.0046085	17.35777664	
0.0046085	16.32539368	
0.0046085	16.32539368	
0.0046085	16.32539368	
0.0046085	16.32539368	
0.0046085	16.32539368	
0.0046085	13.91354561	
0.0046085	13.91354561	
0.0046085	13.91354561	
0.0046085	13.91354561	
0.0046085	13.91354561	
0.0046085	14.16180229	
0.0046085	14.16180229	
0.0046085	14.16180229	
0.0046085	14.16180229	
0.0046085	14.16180229	
0.0046085	12.51080704	
0.0046085	12.51080704	
0.0046085	12.51080704	
0.0046085	12.51080704	
0.0046085	12.51080704	
0.0046085	12.11372375	
0.0046085	12.11372375	
0.0046085	12.11372375	
0.0046085	12.11372375	
0.0046085	12.11372375	
0.0046085	12.51682281	
0.0046085	12.51682281	
0.0046085	12.51682281	
0.0046085	12.51682281	
0.0046085	12.51682281	
0.0046085	13.75633621	
0.0046085	13.75633621	
0.0046085	13.75633621	
0.0046085	13.75633621	
0.0046085	13.75633621	
0.0046085	11.88216209	
0.0046085	11.88216209	
0.0046085	11.88216209	
0.0046085	11.88216209	
0.0046085	11.88216209	
0.0046085	12.64409256	
0.0046085	12.64409256	
0.0046085	12.64409256	
0.0046085	12.64409256	
0.0046085	12.64409256	
0.0046085	13.54121208	
0.0046085	13.54121208	
0.0046085	13.54121208	
0.0046085	13.54121208	
0.0046085	13.54121208	
0.0046085	13.3623848	
0.0046085	13.3623848	
0.0046085	13.3623848	
0.0046085	13.3623848	
0.0046085	13.3623848	
0.0046085	13.3623848	
0.0046085	13.5471611	
0.0046085	13.5471611	
0.0046085	13.5471611	
0.0046085	13.5471611	
0.0046085	13.5471611	
0.0046085	13.04665375	
0.0046085	13.04665375	
0.0046085	13.04665375	
0.0046085	13.04665375	
0.0046085	13.04665375	
0.0046085	11.66721535	
0.0046085	11.66721535	
0.0046085	11.66721535	
0.0046085	11.66721535	
0.0046085	11.66721535	
0.0046085	10.96567535	
0.0046085	10.96567535	
0.0046085	10.96567535	
0.0046085	10.96567535	
0.0046085	10.96567535	
0.0046085	11.0919838	
0.0046085	11.0919838	
0.0046085	11.0919838	
0.0046085	11.0919838	
0.0046085	11.0919838	
0.0046085	9.14005756	
0.0046085	9.14005756	
0.0046085	9.14005756	
0.0046085	9.14005756	
0.0046085	9.14005756	
0.0046085	9.08599377	
0.0046085	9.08599377	
0.0046085	9.08599377	
0.0046085	9.08599377	
0.0046085	9.08599377	
0.0046085	10.23963356	
0.0046085	10.23963356	
0.0046085	10.23963356	
0.0046085	10.23963356	
0.0046085	10.23963356	
0.0046085	11.09703255	
0.0046085	11.09703255	
0.0046085	11.09703255	
0.0046085	11.09703255	
0.0046085	11.09703255	
0.0046085	17.89980316	
0.0046085	17.89980316	
0.0046085	17.89980316	
0.0046085	17.89980316	
0.0046085	17.89980316	
