Coagulant mL/s	Turbidity	Average Turbidity
0.0026336	0.14054422	
0.0026336	0.14054422	
0.0026336	0.14054422	
0.0026336	0.14054422	
0.0026336	0.14054422	
0.0026336	0.14010496	
0.0026336	0.14010496	
0.0026336	0.14010496	
0.0026336	0.14010496	
0.0026336	0.14010496	
0.0026336	0.14011039	
0.0026336	0.14011039	
0.0026336	0.14011039	
0.0026336	0.14011039	
0.0026336	0.14011039	
0.0026336	0.14011039	
0.0026336	0.14942379	
0.0026336	0.14942379	
0.0026336	0.14942379	
0.0026336	0.14942379	
0.0026336	0.14942379	
0.0026336	0.14632089	
0.0026336	0.14632089	
0.0026336	0.14632089	
0.0026336	0.14632089	
0.0026336	0.14632089	
0.0026336	0.14471233	
0.0026336	0.14471233	
0.0026336	0.14471233	
0.0026336	0.14471233	
0.0026336	0.14471233	
0.0026336	0.14247206	
0.0026336	0.14247206	
0.0026336	0.14247206	
0.0026336	0.14247206	
0.0026336	0.14247206	
0.0026336	0.14081271	
0.0026336	0.14081271	
0.0026336	0.14081271	
0.0026336	0.14081271	
0.0026336	0.14081271	
0.0026336	0.1395655	
0.0026336	0.1395655	
0.0026336	0.1395655	
0.0026336	0.1395655	
0.0026336	0.1395655	
0.0026336	0.14012323	
0.0026336	0.14012323	
0.0026336	0.14012323	
0.0026336	0.14012323	
0.0026336	0.14012323	
0.0026336	0.14090276	
0.0026336	0.14090276	
0.0026336	0.14090276	
0.0026336	0.14090276	
0.0026336	0.14090276	
0.0026336	0.13998553	
0.0026336	0.13998553	
0.0026336	0.13998553	
0.0026336	0.13998553	
0.0026336	0.13998553	
0.0026336	0.13965419	
0.0026336	0.13965419	
0.0026336	0.13965419	
0.0026336	0.13965419	
0.0026336	0.13965419	
0.0026336	0.1415209	
0.0026336	0.1415209	
0.0026336	0.1415209	
0.0026336	0.1415209	
0.0026336	0.1415209	
0.0026336	0.14188202	
0.0026336	0.14188202	
0.0026336	0.14188202	
0.0026336	0.14188202	
0.0026336	0.14188202	
0.0026336	0.14077559	
0.0026336	0.14077559	
0.0026336	0.14077559	
0.0026336	0.14077559	
0.0026336	0.14077559	
0.0026336	0.13934439	
0.0026336	0.13934439	
0.0026336	0.13934439	
0.0026336	0.13934439	
0.0026336	0.13934439	
0.0026336	0.13809684	
0.0026336	0.13809684	
0.0026336	0.13809684	
0.0026336	0.13809684	
0.0026336	0.13809684	
0.0026336	0.13790223	
0.0026336	0.13790223	
0.0026336	0.13790223	
0.0026336	0.13790223	
0.0026336	0.13790223	
0.0026336	0.13825572	
0.0026336	0.13825572	
0.0026336	0.13825572	
0.0026336	0.13825572	
0.0026336	0.13825572	
0.0026336	0.13754402	
0.0026336	0.13754402	
0.0026336	0.13754402	
0.0026336	0.13754402	
0.0026336	0.13754402	
0.0026336	0.13635276	
0.0026336	0.13635276	
0.0026336	0.13635276	
0.0026336	0.13635276	
0.0026336	0.13635276	
0.0026336	0.13807164	
0.0026336	0.13807164	
0.0026336	0.13807164	
0.0026336	0.13807164	
0.0026336	0.13807164	
0.0026336	0.13877951	
0.0026336	0.13877951	
0.0026336	0.13877951	
0.0026336	0.13877951	
0.0026336	0.13877951	
0.0026336	0.13917781	
0.0026336	0.13917781	
0.0026336	0.13917781	
0.0026336	0.13917781	
0.0026336	0.13917781	
0.0026336	0.13858911	
0.0026336	0.13858911	
0.0026336	0.13858911	
0.0026336	0.13858911	
0.0026336	0.13858911	
0.0026336	0.13850872	
0.0026336	0.13850872	
0.0026336	0.13850872	
0.0026336	0.13850872	
0.0026336	0.13850872	
0.0026336	0.14004625	
0.0026336	0.14004625	
0.0026336	0.14004625	
0.0026336	0.14004625	
0.0026336	0.14004625	
0.0026336	0.15480725	
0.0026336	0.15480725	
0.0026336	0.15480725	
0.0026336	0.15480725	
0.0026336	0.15480725	
0.0026336	0.17924702	
0.0026336	0.17924702	
0.0026336	0.17924702	
0.0026336	0.17924702	
0.0026336	0.17924702	
0.0026336	0.20023498	
0.0026336	0.20023498	
0.0026336	0.20023498	
0.0026336	0.20023498	
0.0026336	0.20023498	
0.0026336	0.43035144	
0.0026336	0.43035144	
0.0026336	0.43035144	
0.0026336	0.43035144	
0.0026336	0.43035144	
0.0026336	0.3282443	
0.0026336	0.3282443	
0.0026336	0.3282443	
0.0026336	0.3282443	
0.0026336	0.3282443	
0.0026336	0.29380071	
0.0026336	0.29380071	
0.0026336	0.29380071	
0.0026336	0.29380071	
0.0026336	0.29380071	
0.0026336	0.33701676	
0.0026336	0.33701676	
0.0026336	0.33701676	
0.0026336	0.33701676	
0.0026336	0.33701676	
0.0026336	0.44470677	
0.0026336	0.44470677	
0.0026336	0.44470677	
0.0026336	0.44470677	
0.0026336	0.44470677	
0.0026336	0.51921546	
0.0026336	0.51921546	
0.0026336	0.51921546	
0.0026336	0.51921546	
0.0026336	0.51921546	
0.0026336	0.56620133	
0.0026336	0.56620133	
0.0026336	0.56620133	
0.0026336	0.56620133	
0.0026336	0.56620133	
0.0026336	0.81589895	
0.0026336	0.81589895	
0.0026336	0.81589895	
0.0026336	0.81589895	
0.0026336	0.81589895	
0.0026336	0.97862965	
0.0026336	0.97862965	
0.0026336	0.97862965	
0.0026336	0.97862965	
0.0026336	0.97862965	
0.0026336	1.37599194	
0.0026336	1.37599194	
0.0026336	1.37599194	
0.0026336	1.37599194	
0.0026336	1.37599194	
0.0026336	1.63417065	
0.0026336	1.63417065	
0.0026336	1.63417065	
0.0026336	1.63417065	
0.0026336	1.63417065	
0.0026336	1.85719275	
0.0026336	1.85719275	
0.0026336	1.85719275	
0.0026336	1.85719275	
0.0026336	1.85719275	
0.0026336	1.88149047	
0.0026336	1.88149047	
0.0026336	1.88149047	
0.0026336	1.88149047	
0.0026336	1.88149047	
0.0026336	1.72669208	
0.0026336	1.72669208	
0.0026336	1.72669208	
0.0026336	1.72669208	
0.0026336	1.72669208	
0.0026336	1.72669208	
0.0026336	1.6126138	
0.0026336	1.6126138	
0.0026336	1.6126138	
0.0026336	1.6126138	
0.0026336	1.6126138	
0.0026336	1.39994824	
0.0026336	1.39994824	
0.0026336	1.39994824	
0.0026336	1.39994824	
0.0026336	1.39994824	
0.0026336	2.37572908	
0.0026336	2.37572908	
0.0026336	2.37572908	
0.0026336	2.37572908	
0.0026336	2.37572908	
0.0026336	2.13764739	
0.0026336	2.13764739	
0.0026336	2.13764739	
0.0026336	2.13764739	
0.0026336	2.13764739	
0.0026336	1.88238084	
0.0026336	1.88238084	
0.0026336	1.88238084	
0.0026336	1.88238084	
0.0026336	1.88238084	
0.0026336	1.78926241	
0.0026336	1.78926241	
0.0026336	1.78926241	
0.0026336	1.78926241	
0.0026336	1.78926241	
0.0026336	2.35487509	
0.0026336	2.35487509	
0.0026336	2.35487509	
0.0026336	2.35487509	
0.0026336	2.35487509	
0.0026336	2.69799161	
0.0026336	2.69799161	
0.0026336	2.69799161	
0.0026336	2.69799161	
0.0026336	2.69799161	
0.0026336	2.72511816	
0.0026336	2.72511816	
0.0026336	2.72511816	
0.0026336	2.72511816	
0.0026336	2.72511816	
0.0026336	3.50706387	
0.0026336	3.50706387	
0.0026336	3.50706387	
0.0026336	3.50706387	
0.0026336	3.50706387	
0.0026336	3.45955968	
0.0026336	3.45955968	
0.0026336	3.45955968	
0.0026336	3.45955968	
0.0026336	3.45955968	
0.0026336	3.59899545	
0.0026336	3.59899545	
0.0026336	3.59899545	
0.0026336	3.59899545	
0.0026336	3.59899545	
0.0026336	3.72963142	
0.0026336	3.72963142	
0.0026336	3.72963142	
0.0026336	3.72963142	
0.0026336	3.72963142	
0.0026336	3.56802273	
0.0026336	3.56802273	
0.0026336	3.56802273	
0.0026336	3.56802273	
0.0026336	3.56802273	
0.0026336	3.74702978	
0.0026336	3.74702978	
0.0026336	3.74702978	
0.0026336	3.74702978	
0.0026336	3.74702978	
0.0026336	4.11389923	
0.0026336	4.11389923	
0.0026336	4.11389923	
0.0026336	4.11389923	
0.0026336	4.11389923	
0.0026336	3.50671911	
0.0026336	3.50671911	
0.0026336	3.50671911	
0.0026336	3.50671911	
0.0026336	3.50671911	
0.0026336	3.1691916	
0.0026336	3.1691916	
0.0026336	3.1691916	
0.0026336	3.1691916	
0.0026336	3.1691916	
0.0026336	2.70090055	
0.0026336	2.70090055	
0.0026336	2.70090055	
0.0026336	2.70090055	
0.0026336	2.70090055	
0.0026336	3.00287867	
0.0026336	3.00287867	
0.0026336	3.00287867	
0.0026336	3.00287867	
0.0026336	3.00287867	
0.0026336	3.56089258	
0.0026336	3.56089258	
0.0026336	3.56089258	
0.0026336	3.56089258	
0.0026336	3.56089258	
0.0026336	4.1638093	
0.0026336	4.1638093	
0.0026336	4.1638093	
0.0026336	4.1638093	
0.0026336	4.1638093	
0.0026336	3.69475317	
0.0026336	3.69475317	
0.0026336	3.69475317	
0.0026336	3.69475317	
0.0026336	3.69475317	
0.0026336	4.05895948	
0.0026336	4.05895948	
0.0026336	4.05895948	
0.0026336	4.05895948	
0.0026336	4.05895948	
0.0026336	4.1030407	
0.0026336	4.1030407	
0.0026336	4.1030407	
0.0026336	4.1030407	
0.0026336	4.1030407	
0.0026336	4.71235561	
0.0026336	4.71235561	
0.0026336	4.71235561	
0.0026336	4.71235561	
0.0026336	4.71235561	
0.0026336	5.21164656	
0.0026336	5.21164656	
0.0026336	5.21164656	
0.0026336	5.21164656	
0.0026336	5.21164656	
0.0026336	6.13606405	
