Day fraction since midnight on 11/2/2019	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.40121267	0.38461238	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04038950
0.40122422	0.38395193	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04038950
0.40123581	0.38219887	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04038950
0.40124738	0.38340935	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04038950
0.40125896	0.38279098	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04038950
0.40127052	0.38187313	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04848961
0.40128209	0.38159046	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04848961
0.40129368	0.38306034	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04848961
0.40130525	0.38000637	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04848961
0.40131681	0.38164881	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04848961
0.40132840	0.38057074	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09940999
0.40133997	0.37983623	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09940999
0.40135155	0.37881505	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09940999
0.40136312	0.37886310	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09940999
0.40137468	0.37798467	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09940999
0.40138628	0.37728214	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09321105
0.40139784	0.37647304	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09321105
0.40140941	0.37864083	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09321105
0.40142098	0.37593463	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09321105
0.40143257	0.37504682	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09321105
0.40144413	0.37218726	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06669749
0.40145570	0.38344529	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06669749
0.40146728	0.21194826	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06669749
0.40147885	0.12136961	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06669749
0.40149042	0.28275451	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06669749
0.40150199	0.21920259	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04505337
0.40151358	0.22982530	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04505337
0.40152515	0.23203261	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04505337
0.40153672	0.22944641	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04505337
0.40154831	0.20872945	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04505337
0.40155987	0.17849417	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03077320
0.40157144	0.09814561	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03077320
0.40158301	0.24137971	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03077320
0.40159458	0.42831171	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03077320
0.40160618	0.41839606	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03077320
0.40161775	0.33878416	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05147158
0.40162931	0.31845483	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05147158
0.40164090	0.48165065	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05147158
0.40165247	0.44768959	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05147158
