Day fraction since midnight on 10/6/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.43614326	0.00000000	0.00000000	0.00000000	-999.00000000
0.43615484	0.00000000	0.00000000	0.00000000	-999.00000000
0.43616641	0.00000000	0.00000000	0.00000000	-999.00000000
0.43617800	0.00000000	0.00000000	0.00000000	-999.00000000
0.43618957	0.00000000	0.00000000	0.00000000	-999.00000000
0.43620114	0.00000000	0.00000000	0.00000000	-999.00000000
0.43621271	0.00000000	0.00000000	0.00000000	-999.00000000
0.43622427	0.00000000	0.00000000	0.00000000	-999.00000000
0.43623586	0.00000000	0.00000000	0.00000000	-999.00000000
0.43624743	0.00000000	0.00000000	0.00000000	-999.00000000
0.43625900	0.00000000	0.00000000	0.00000000	-999.00000000
0.43627057	0.00000000	0.00000000	0.00000000	-999.00000000
0.43628216	0.00000000	0.00000000	0.00000000	-999.00000000
0.43629373	0.00000000	0.00000000	0.00000000	-999.00000000
0.43630530	0.00000000	0.00000000	0.00000000	-999.00000000
0.43631687	0.00000000	0.00000000	0.00000000	-999.00000000
0.43632844	0.00000000	0.00000000	0.00000000	-999.00000000
0.43634003	0.00000000	0.00000000	0.00000000	-999.00000000
0.43635161	0.00000000	0.00000000	0.00000000	-999.00000000
0.43636317	0.00000000	0.00000000	0.00000000	-999.00000000
0.43637474	0.00000000	0.00000000	0.00000000	-999.00000000
0.43638631	0.00000000	0.00000000	0.00000000	-999.00000000
0.43639789	0.00000000	0.00000000	0.00000000	-999.00000000
0.43640948	0.00000000	0.00000000	0.00000000	-999.00000000
0.43642104	0.00000000	0.00000000	0.00000000	-999.00000000
0.43643261	0.00000000	0.00000000	0.00000000	-999.00000000
0.43644418	0.00000000	0.00000000	0.00000000	-999.00000000
0.43645577	0.00000000	0.00000000	0.00000000	-999.00000000
0.43646734	0.00000000	0.00000000	0.00000000	-999.00000000
0.43647891	0.00000000	0.00000000	0.00000000	-999.00000000
0.43649048	0.00000000	0.00000000	0.00000000	-999.00000000
0.43650207	0.00000000	0.00000000	0.00000000	-999.00000000
0.43651364	0.00000000	0.00000000	0.00000000	-999.00000000
0.43652521	0.00000000	0.00000000	0.00000000	-999.00000000
0.43653678	0.00000000	0.00000000	0.00000000	-999.00000000
0.43654835	0.00000000	0.00000000	0.00000000	-999.00000000
0.43655992	0.00000000	0.00000000	0.00000000	-999.00000000
0.43657151	0.00000000	0.00000000	0.00000000	-999.00000000
0.43658308	0.00000000	0.00000000	0.00000000	-999.00000000
0.43659465	0.00000000	0.00000000	0.00000000	-999.00000000
0.43660622	0.00000000	0.00000000	0.00000000	-999.00000000
0.43661780	0.00000000	0.00000000	0.00000000	-999.00000000
0.43662937	0.00000000	0.00000000	0.00000000	-999.00000000
0.43664096	0.00000000	0.00000000	0.00000000	-999.00000000
0.43665253	0.00000000	0.00000000	0.00000000	-999.00000000
0.43666410	0.00000000	0.00000000	0.00000000	-999.00000000
0.43667567	0.00000000	0.00000000	0.00000000	-999.00000000
0.43668724	0.00000000	0.00000000	0.00000000	-999.00000000
0.43669883	0.00000000	0.00000000	0.00000000	-999.00000000
0.43671040	0.00000000	0.00000000	0.00000000	-999.00000000
0.43672197	0.00000000	0.00000000	0.00000000	-999.00000000
0.43673354	0.00000000	0.00000000	0.00000000	-999.00000000
0.43674511	0.00000000	0.00000000	0.00000000	-999.00000000
0.43675668	0.00000000	0.00000000	0.00000000	-999.00000000
0.43676827	0.00000000	0.00000000	0.00000000	-999.00000000
0.43677984	0.00000000	0.00000000	0.00000000	-999.00000000
0.43679141	0.00000000	0.00000000	0.00000000	-999.00000000
0.43680298	0.00000000	0.00000000	0.00000000	-999.00000000
0.43681455	0.00000000	0.00000000	0.00000000	-999.00000000
0.43682614	0.00000000	0.00000000	0.00000000	-999.00000000
0.43683771	0.00000000	0.00000000	0.00000000	-999.00000000
0.43684928	0.00000000	0.00000000	0.00000000	-999.00000000
0.43686086	0.00000000	0.00000000	0.00000000	-999.00000000
0.43687243	0.00000000	0.00000000	0.00000000	-999.00000000
0.43688400	0.00000000	0.00000000	0.00000000	-999.00000000
0.43689559	0.00000000	0.00000000	0.00000000	-999.00000000
0.43690716	0.00000000	0.00000000	0.00000000	-999.00000000
0.43691872	0.00000000	0.00000000	0.00000000	-999.00000000
0.43693030	0.00000000	0.00000000	0.00000000	-999.00000000
0.43694187	0.00000000	0.00000000	0.00000000	-999.00000000
0.43695346	0.00000000	0.00000000	0.00000000	-999.00000000
0.43696503	0.00000000	0.00000000	0.00000000	-999.00000000
0.43697660	0.00000000	0.00000000	0.00000000	-999.00000000
0.43698817	0.00000000	0.00000000	0.00000000	-999.00000000
0.43699974	0.00000000	0.00000000	0.00000000	-999.00000000
0.43701133	0.00000000	0.00000000	0.00000000	-999.00000000
0.43702290	0.00000000	0.00000000	0.00000000	-999.00000000
0.43703447	0.00000000	0.00000000	0.00000000	-999.00000000
0.43704603	0.00000000	0.00000000	0.00000000	-999.00000000
0.43705762	0.00000000	0.00000000	0.00000000	-999.00000000
0.43706920	0.00000000	0.00000000	0.00000000	-999.00000000
0.43708077	0.00000000	0.00000000	0.00000000	-999.00000000
0.43709234	0.00000000	0.00000000	0.00000000	-999.00000000
0.43710391	0.00000000	0.00000000	0.00000000	-999.00000000
0.43711548	0.00000000	0.00000000	0.00000000	-999.00000000
0.43712707	0.00000000	0.00000000	0.00000000	-999.00000000
0.43713864	0.00000000	0.00000000	0.00000000	-999.00000000
0.43715023	0.00000000	0.00000000	0.00000000	-999.00000000
0.43716178	0.00000000	0.00000000	0.00000000	-999.00000000
0.43717335	0.00000000	0.00000000	0.00000000	-999.00000000
0.43718492	0.00000000	0.00000000	0.00000000	-999.00000000
0.43719650	0.00000000	0.00000000	0.00000000	-999.00000000
0.43720809	0.00000000	0.00000000	0.00000000	-999.00000000
0.43721966	0.00000000	0.00000000	0.00000000	-999.00000000
0.43723123	0.00000000	0.00000000	0.00000000	-999.00000000
0.43724280	0.00000000	0.00000000	0.00000000	-999.00000000
0.43725436	0.00000000	0.00000000	0.00000000	-999.00000000
0.43726596	0.00000000	0.00000000	0.00000000	-999.00000000
0.43727753	0.00000000	0.00000000	0.00000000	-999.00000000
